id,title,owner,priority,status,due,notes
NX-PP-000,Ingest Pumpkin Pi codex brief,@you,P0,Done,2025-10-13,Document SRS/ADR stubs and plugin scaffold
NX-PP-001,Write SRS §8A CM5 Integrated (AgIO-bypass),@you,P1,Open,2025-10-20,Insert section and performance targets
NX-PP-002,Add ADR for SHM fastpath + HAL,@you,P1,Open,2025-10-20,ADR-00XX in docs/adr
NX-PP-003,Create Pumpkin Pi plugin scaffold,@dev1,P1,Open,2025-10-27,cmd/pkg structure + systemd unit
NX-PP-004,Implement SHM ring + eventfd,@dev1,P1,Open,2025-10-27,/dev/shm aoglink_steer with versioned ABI
NX-PP-005,Implement HAL backends (pwm,gpio,can),@dev2,P1,Open,2025-11-03,libgpiod/pwm char dev/SocketCAN
NX-PP-006,Wire gRPC handlers to SHM+HAL,@dev2,P1,Open,2025-11-03,Consume SetSteerTarget; publish SteerStatus
NX-PP-007,Add MQTT loopback publishers,@dev3,P2,Open,2025-11-03,GPS/IMU/Health/SteerStatus topics
NX-PP-008,Update plugin docs + architecture diagrams,@techwriter,P1,Open,2025-10-28,plugins/README + bridge.md
NX-PP-009,Bridge integration tests (bypass intact),@qa,P1,Open,2025-11-07,Latency p50/p95 + authority handoff
NX-PP-010,Add cm5-integrated sample configs,@dev3,P2,Open,2025-10-28,/etc/aog/*.yaml examples + systemd templates
NX-PP-011,Add CM5 getting-started guidance,@techwriter,P1,Open,2025-10-28,docs/getting-started/cm5.md covering RT priority and ops
NX-PP-012,Document authority token workflows,@techwriter,P1,Open,2025-10-28,MQTT retained token guidance in plugin docs
NX-PP-013,Ship pumpkin-pi systemd unit,@devops,P1,Open,2025-10-20,Provide realtime scheduling hints + mlockall
NX-PP-014,Publish AgIO bridge minimal config,@devops,P2,Open,2025-10-28,Ensure external adapters stay enabled alongside fastpath
NX-PP-015,Bench fastpath latency,@qa,P1,Open,2025-11-07,Measure NAV→HAL latency (p50/p95) on CM5 hardware
NX-PP-016,TTL expiry safe-neutral test,@qa,P1,Open,2025-11-07,Verify stale setpoints drop to neutral within 250 ms
NX-PP-017,Broker restart resilience test,@qa,P2,Open,2025-11-14,Ensure MQTT mirrors recover without SHM disruption
NX-PP-018,External MCU coexistence test,@qa,P2,Open,2025-11-14,Validate UDP/Serial modules unaffected by fastpath
